FPS,Average FPS
1,14
52,14
38,14
38,14
43,14
41,14
24,14
24,14
26,14
14,14
14,14
13,14
14,14
14,14
14,14
12,14
13,14
13,14
13,14
14,14
13,14
13,14
12,14
14,14
14,14
14,14
13,14
13,14
13,14
14,14
14,14
14,14
13,14
14,14
14,14
12,14
12,14
13,14
14,14
14,14
14,14
14,14
12,14
14,14
13,14
13,14
13,14
13,14
13,14
12,14
12,14
14,14
13,14
13,14
14,14
13,14
13,14
13,14
13,14
14,14
14,14
14,14
14,14
14,14
13,14
14,14
13,14
13,14
13,14
12,14
12,14
13,14
13,14
13,14
13,14
12,14
12,14
13,14
13,14
13,14
12,14
12,14
13,14
12,14
13,14
13,14
13,14
14,14
14,14
13,14
14,14
14,14
15,14
15,14
14,14
14,14
13,14
14,14
14,14
13,14
14,14
14,14
14,14
13,14
14,14
14,14
14,14
14,14
13,14
14,14
13,14
14,14
14,14
14,14
14,14
14,14
13,14
14,14
13,14
14,14
13,14
14,14
14,14
13,14
13,14
14,14
14,14
14,14
14,14
13,14
13,14
14,14
14,14
13,14
13,14
13,14
14,14
12,14
12,14
13,14
13,14
13,14
13,14
12,14
13,14
14,14
13,14
27,14
37,14
37,14
37,14
36,14
40,14
39,14
39,14
42,14
44,14
44,14
35,14
33,14
19,14
24,14
33,14
33,14
34,14
35,14
36,14
36,14
36,14
24,14
14,14
13,14
14,14
17,14
37,14
35,14
38,14
41,14
41,14
41,14
40,14
39,14
40,14
37,14
36,14
44,14
40,14
39,14
36,14
39,14
38,14
38,15
37,15
37,15
37,15
37,15
36,15
26,15
20,15
35,15
35,15
